frame,label,id,transform,bbox,image_path,detection_score,raw_pose_score,render_score
11,-1,-1,0.998556 -0.018503 0.050433 -0.044803 -0.049707 -0.674265 0.736815 0.191328 0.020372 -0.738257 -0.674211 1.372579 0.000000 0.000000 0.000000 1.000000,,images/rgb_000011.png,,,
11,0,0,0.998996 -0.043838 -0.009280 -0.076230 -0.036405 -0.673282 -0.738489 -0.040587 0.026126 0.738085 -0.674201 0.992320 0.000000 0.000000 0.000000 1.000000,,,1,1,1
11,6,6,-0.787185015237 -0.604460309718 -0.122341676308 -0.15075456051 -0.332256290524 0.582792276747 -0.741592151773 0.101763436947 0.519562805821 -0.543121437747 -0.659601087528 0.807938058763 0.0 0.0 0.0 1.0,194 263 59 61,,0.99995387,0.13407622,0.365327239037
11,9,9,-0.999625050019 -0.00856346703507 0.0260081988329 -0.185497542196 -0.0239407941268 0.734318940935 -0.678382289982 0.0371023880668 -0.0132890086452 -0.678750587489 -0.734248624264 0.83759526887 0.0 0.0 0.0 1.0,170 219 69 64,,0.999371,0.17956607,0.706506967545
11,9,9,-0.806020947936 0.590784374645 0.036111690133 -0.233964228883 0.371182906716 0.552051524712 -0.746634022681 -0.130913300096 -0.461035227776 -0.588398620612 -0.664254154681 0.92862199397 0.0 0.0 0.0 1.0,159 120 59 74,,0.9992066,0.18119428,0.651321649551
11,6,6,-0.613554097476 -0.665382221007 0.425226844682 0.0397435836463 -0.638963867779 0.734746288865 0.227756595233 0.0120047008468 -0.463979035241 -0.131963597129 -0.875961793624 0.859886992486 0.0 0.0 0.0 1.0,321 208 45 45,,0.9971595,0.09734116,0.00460700504482
11,2,2,0.163052206702 0.106400413277 -0.980863359467 -0.197912184343 0.696294685112 0.69192992071 0.190805388578 -0.0263695389033 0.698990478743 -0.714081183676 0.0387346581962 0.922483217435 0.0 0.0 0.0 1.0,141 156 159 101,,0.98586535,0.059856787,0.104981824756
11,8,8,0.393302430228 0.918199910358 -0.0471393995979 -0.149288601603 -0.591566596099 0.291974897163 0.751531517507 -0.0679242275746 0.703819693356 -0.267693078066 0.658010832129 0.884809151832 0.0 0.0 0.0 1.0,208 166 59 45,,0.9835524,0.1415738,0.0473639331758
11,3,3,-0.689567924736 -0.723689987223 -0.0277286777081 -0.00762751107085 -0.443909014319 0.452610542962 -0.773361806276 -0.253451504652 0.572224487576 -0.520976485834 -0.633358221725 0.99483089849 0.0 0.0 0.0 1.0,287 29 59 128,,0.9798663,0.2370904,0.397003352642
11,4,4,0.544558725501 -0.837470431092 0.0458156253672 -0.0277142022461 -0.550538513245 -0.398125361674 -0.733759866595 0.00826565261286 0.632742554215 0.374352071504 -0.677862365563 0.848065454602 0.0 0.0 0.0 1.0,284 198 43 75,,0.95774776,0.078784086,0.809651136398
11,3,3,-0.146560301366 0.62627976921 0.765698196904 0.0281636881775 -0.324626968993 0.700737349821 -0.635283005886 -0.125929330337 -0.934418219571 -0.34167355362 0.100607026052 1.05276581852 0.0 0.0 0.0 1.0,309 117 71 58,,0.94610876,0.12985507,0.197652891278
11,8,8,0.917656746427 -0.180354426173 0.354088091719 0.128606656627 -0.00475998067049 -0.895995172652 -0.444038278946 -0.045253556273 0.397345489872 0.405789269874 -0.823074498532 0.932927590003 0.0 0.0 0.0 1.0,373 176 56 59,,0.8704679,0.1392802,0.540367722511
11,5,5,-0.955301286894 0.286265994322 -0.0738324573163 -0.0644578488557 0.288147404754 0.845756911088 -0.449072734064 -0.122294793843 -0.0661099417016 -0.450274391723 -0.890439468896 0.950488965736 0.0 0.0 0.0 1.0,257 112 60 82,,0.823092,0.10203059,0.391830801964
21,-1,-1,0.998556 -0.018503 0.050433 -0.044803 -0.049707 -0.674265 0.736815 0.191328 0.020372 -0.738257 -0.674211 1.372579 0.000000 0.000000 0.000000 1.000000,,images/rgb_000021.png,,,
21,0,0,0.998931 -0.045266 -0.009347 -0.074911 -0.037411 -0.673079 -0.738624 -0.040233 0.027143 0.738184 -0.674053 0.991885 0.000000 0.000000 0.000000 1.000000,,,1,1,1
21,6,6,-0.549591033209 -0.835262355282 -0.0169261355617 -0.151001724565 -0.514448955002 0.354324671609 -0.780894551003 0.100505270309 0.658249169322 -0.420465010361 -0.624433508189 0.806030511992 0.0 0.0 0.0 1.0,195 263 58 61,,0.9999659,0.13657068,0.301390260458
21,9,9,-0.99975455193 -0.0201560948935 0.00919607170721 -0.185817746341 -0.0211002892455 0.739731347786 -0.672571416949 0.0367832107822 0.00675379078441 -0.672600375366 -0.739975081586 0.838508589181 0.0 0.0 0.0 1.0,170 219 70 65,,0.99938905,0.16299723,0.661587357521
21,9,9,-0.822330055216 0.568402015075 0.026314056068 -0.23470864627 0.363292044721 0.560057979897 -0.744549494255 -0.130935902917 -0.437940829942 -0.602705739488 -0.667048439814 0.928642096855 0.0 0.0 0.0 1.0,159 120 59 75,,0.9992186,0.18312137,0.612390041351
21,6,6,-0.535722461509 -0.762382945102 0.363006458968 0.0404439041473 -0.748916948348 0.627573746778 0.212778280922 0.0120717553677 -0.390031856022 -0.15787158507 -0.907166861121 0.860801514247 0.0 0.0 0.0 1.0,322 208 44 45,,0.9987275,0.09683087,0.00514019979164
21,3,3,-0.676733592683 -0.734942822001 -0.0434820988829 -0.00726465555072 -0.439667108755 0.450804844091 -0.776831916197 -0.252861429388 0.590528981518 -0.506590604861 -0.62820496739 0.994046902525 0.0 0.0 0.0 1.0,288 29 58 127,,0.9849534,0.21986173,0.354800194502
21,2,2,0.0888925912133 0.45704722091 0.884989234446 -0.182910550729 0.865946418028 -0.474499600467 0.158072547463 -0.0458962473354 0.492173656682 0.752301779218 -0.437957902832 0.95308900046 0.0 0.0 0.0 1.0,141 155 161 104,,0.9837489,0.057869207,0.223180413246
21,8,8,-0.934556092777 -0.353525578627 -0.0403060133172 -0.146379143329 -0.201347434864 0.618834800914 -0.759277748687 -0.0551106706199 0.29336686917 -0.701472133755 -0.649517302032 0.893421684165 0.0 0.0 0.0 1.0,209 166 59 44,,0.9790854,0.1446961,0.77713227272
21,4,4,0.922758531547 -0.385121044609 -0.0140880607424 -0.0284577327048 -0.271619332674 -0.624003283706 -0.732695598487 0.00884347022527 0.273385498105 0.679927704188 -0.680410674889 0.846475062919 0.0 0.0 0.0 1.0,284 198 43 75,,0.9519891,0.08790582,0.815868973732
21,3,3,-0.213298526518 0.0376683378763 0.976260638819 0.0131582336383 -0.74843840869 0.6359817332 -0.188061647958 -0.150086382423 -0.627967902828 -0.770784231389 -0.107461535726 1.07092639513 0.0 0.0 0.0 1.0,309 117 70 58,,0.9471558,0.1373279,0.236282497644
21,8,8,0.925179872734 -0.103879012603 0.365036099349 0.129675531517 0.0516617739963 -0.918391944729 -0.392284714162 -0.0442907085068 0.375996361943 0.381792334389 -0.844311168472 0.933161057468 0.0 0.0 0.0 1.0,373 177 56 59,,0.8979811,0.1269078,0.62471139431
21,5,5,-0.953414041753 0.285289854718 -0.098037563121 -0.063762050948 0.298085803146 0.841050682832 -0.45141843435 -0.122723291592 -0.0463305401465 -0.459612279757 -0.886910386311 0.950431604475 0.0 0.0 0.0 1.0,258 113 59 81,,0.89675003,0.10351254,0.37295204401
21,12,12,0.79109396695 0.103527217826 0.602870177255 0.135018645925 0.266588631593 0.828697941763 -0.492128258509 -0.0748990000198 -0.550545944459 0.550038031855 0.62797876282 0.992638712846 0.0 0.0 0.0 1.0,352 147 95 51,,0.7897154,0.16856094,0.251323193312
31,-1,-1,0.998744 -0.015850 0.047534 -0.035681 -0.045779 -0.674332 0.737008 0.191137 0.020372 -0.738258 -0.674210 1.372577 0.000000 0.000000 0.000000 1.000000,,images/rgb_000031.png,,,
31,0,0,0.999042 -0.042713 -0.009523 -0.088331 -0.035828 -0.673370 -0.738437 -0.040252 0.025128 0.738070 -0.674256 0.992093 0.000000 0.000000 0.000000 1.000000,,,1,1,1
31,6,6,-0.955615132159 0.293846590558 0.0213049385272 -0.157569822608 0.174421982624 0.622548450522 -0.76289606024 0.101679620709 -0.23743776272 -0.725318969813 -0.646170024734 0.807390400642 0.0 0.0 0.0 1.0,189 266 58 58,,0.9999627,0.13706695,0.475825428963
31,9,9,-0.999712735831 0.0199722269756 -0.0132497534348 -0.193569361562 0.0237407460738 0.749296614971 -0.661808854404 0.0380175038242 -0.00328980125674 -0.661933299466 -0.749555524471 0.837552522012 0.0 0.0 0.0 1.0,163 223 69 62,,0.999912,0.20617406,0.699688196182
31,8,8,-0.98050357366 -0.183054275248 -0.0714414050421 -0.15855712962 -0.0644276114909 0.642951545373 -0.763192238679 -0.0538913111758 0.185638963902 -0.743709918326 -0.642210037655 0.89285078268 0.0 0.0 0.0 1.0,203 168 55 45,,0.9987618,0.1386445,0.770507097244
31,6,6,-0.690716720616 0.659852738976 0.295812059809 0.0180588943647 -0.485782515437 -0.12038902149 -0.865749288882 0.00497289435965 -0.53565451511 -0.741687836202 0.40369963348 0.898868881205 0.0 0.0 0.0 1.0,318 210 44 45,,0.99550444,0.09054771,0.269621372223
31,9,9,-0.788889068776 0.61382586699 0.0295269737581 -0.241174738502 0.394940295709 0.543217099933 -0.740903060573 -0.132515104344 -0.470825020566 -0.572828933761 -0.670962601532 0.927163013658 0.0 0.0 0.0 1.0,152 118 63 68,,0.99358386,0.22218083,0.759098291397
31,4,4,0.98936241243 0.142723776362 -0.0281414379788 -0.0376888631327 0.0758115188795 -0.670962773614 -0.737605294198 0.0107785110729 -0.124155670332 0.727625508133 -0.67464545462 0.847656519627 0.0 0.0 0.0 1.0,278 197 44 76,,0.99157614,0.09719955,0.864493072033
31,3,3,-0.715731922704 -0.698124655506 -0.0187024115321 -0.014718167818 -0.431059019392 0.462683670081 -0.774668924923 -0.253630451907 0.54946877675 -0.546393435919 -0.632090402207 0.993112475593 0.0 0.0 0.0 1.0,286 26 56 133,,0.97832334,0.19140305,0.376982152462
31,2,2,0.118813593942 0.408680363121 0.904910874448 -0.195456643999 0.843060513107 -0.522972335567 0.12549465117 -0.0477060897918 0.5245305531 0.747984155602 -0.40667849935 0.955815065426 0.0 0.0 0.0 1.0,139 159 157 96,,0.97268087,0.053806648,0.164760798216
31,5,5,-0.977613254091 0.204205563834 -0.0507189621876 -0.0736642461078 0.204529123296 0.865677698303 -0.456913515214 -0.121487214495 -0.0493980075509 -0.457058213317 -0.888063976574 0.951925506601 0.0 0.0 0.0 1.0,254 113 59 80,,0.9427613,0.0940611,0.444918274879
31,3,3,-0.161702586606 0.0192716745529 0.986651344724 0.00748813632642 -0.738956448951 0.660292400971 -0.134004894589 -0.151720601642 -0.654060884046 -0.750761312123 -0.0925300609606 1.06865381993 0.0 0.0 0.0 1.0,308 119 69 59,,0.93031925,0.13983266,0.120467871428
31,8,8,0.958568506617 -0.0619281762252 0.278049130753 0.120993378118 0.0944289510181 -0.851815066938 -0.515261355961 -0.0495244344393 0.268755634978 0.520169196249 -0.810675283909 0.9345383256 0.0 0.0 0.0 1.0,366 174 60 62,,0.92761934,0.15567568,0.377225458622
41,-1,-1,0.999911 0.000011 0.013342 -0.011159 -0.009818 -0.676546 0.736335 0.191193 0.009035 -0.736401 -0.676485 1.374172 0.000000 0.000000 0.000000 1.000000,,images/rgb_000041.png,,,
41,0,0,0.999751 -0.019137 -0.011478 -0.079723 -0.021384 -0.674457 -0.738004 -0.041885 0.006382 0.738066 -0.674699 0.993480 0.000000 0.000000 0.000000 1.000000,,,1,1,1
41,6,6,-0.369908547871 -0.929043196745 -0.00681210649824 -0.155672352457 -0.62712416251 0.255092609722 -0.735964024434 0.0971367193244 0.685480087974 -0.267967346981 -0.676986373529 0.809051752127 0.0 0.0 0.0 1.0,191 261 58 60,,0.9999187,0.13403174,0.323985904455
41,9,9,-0.999672272304 0.0102397639118 -0.02346263458 -0.188923282373 0.0234888961847 0.731332008722 -0.68161702207 0.0337600783907 0.010179378293 -0.681944748682 -0.731332851719 0.841208084033 0.0 0.0 0.0 1.0,168 219 71 58,,0.99971443,0.25901312,0.742286324501
41,9,9,-0.83457787198 0.550471508372 0.0214684436264 -0.233246777868 0.363404057395 0.579414004391 -0.729531975025 -0.135160740758 -0.414025683587 -0.601049523739 -0.683609686403 0.933617479868 0.0 0.0 0.0 1.0,159 117 61 71,,0.99915195,0.18440056,0.688358426094
41,2,2,0.0745388401436 0.505654365122 0.859510107179 -0.184668032714 0.875497664134 -0.445838852425 0.186364046332 -0.0490031018004 0.477438793362 0.738607731276 -0.475931526474 0.956380202952 0.0 0.0 0.0 1.0,145 155 151 104,,0.9938678,0.06934017,0.200056731701
41,4,4,0.999698180301 -0.0237829874777 -0.006157743795 -0.0330334217909 0.0192365725083 0.601890322811 0.798347038314 0.0175188100764 -0.0152807912145 -0.798224535337 0.602166163618 0.858583463677 0.0 0.0 0.0 1.0,281 198 43 73,,0.9922949,0.080633,0.636279821396
41,3,3,0.807630124665 0.589686163209 -0.00195208963496 -0.0026018312741 0.423355055687 -0.582122229044 -0.694193206015 -0.258085448764 -0.41049248295 0.559824918499 -0.719786066876 0.99795104477 0.0 0.0 0.0 1.0,290 30 58 128,,0.98664224,0.17509665,0.518692672253
41,8,8,-0.0991667917636 0.995020549733 0.010002650691 -0.159446397936 -0.722111774601 -0.078876741534 0.68726490135 -0.0683716194449 0.684631676447 0.0609308235174 0.726338008334 0.881980187579 0.0 0.0 0.0 1.0,208 169 51 42,,0.97918624,0.12527367,0.0699521452188
41,4,4,0.363771231553 0.49533323934 0.788869744064 0.130449732715 -0.316060646941 0.862286304484 -0.395686740434 -0.0345977970953 -0.876228371231 -0.105391228784 0.470230295011 0.946971564963 0.0 0.0 0.0 1.0,367 179 60 61,,0.9553195,0.1306092,0.332748860121
41,3,3,-0.211842923946 0.0280635658188 0.976900717498 0.0187071792553 -0.740721213261 0.647464184889 -0.179226709816 -0.150158989129 -0.637537967339 -0.761578994957 -0.116373427555 1.07043788105 0.0 0.0 0.0 1.0,311 120 70 55,,0.92681366,0.15396951,0.266264736652
41,6,6,-0.853000115397 0.521542288946 -0.0196072428818 0.0333498127535 -0.464864174438 -0.776306495079 -0.425734101314 0.003375338162 -0.237259567681 -0.354036532774 0.904635855471 0.886375531362 0.0 0.0 0.0 1.0,320 212 46 42,,0.90751505,0.118883096,0.27345559001
41,5,5,-0.971635998998 0.230923684658 -0.0509680028532 -0.0655304784946 0.22694114079 0.849923184712 -0.475529492994 -0.122990845151 -0.0664921353821 -0.473608310689 -0.878222047081 0.950815593884 0.0 0.0 0.0 1.0,257 118 63 75,,0.8746724,0.09683123,0.40186342597
41,12,12,0.71051765125 0.0513570645175 0.701802763735 0.142643919148 0.429613993771 0.758225201238 -0.490434868829 -0.0800460848304 -0.557311836963 0.649966919259 0.516668675506 1.00247253524 0.0 0.0 0.0 1.0,354 149 93 53,,0.7821858,0.0918411,0.385328829288
51,-1,-1,0.999806 0.018473 -0.006880 0.002357 0.017561 -0.676057 0.736640 0.190661 0.008957 -0.736617 -0.676250 1.374016 0.000000 0.000000 0.000000 1.000000,,images/rgb_000051.png,,,
51,0,0,0.999840 0.011468 -0.013820 -0.071033 -0.002464 -0.674667 -0.738119 -0.044593 -0.017789 0.738036 -0.674529 0.996408 0.000000 0.000000 0.000000 1.000000,,,1,1,1
51,6,6,-0.959597075142 0.279325234696 -0.0339244254361 -0.154208443201 0.20974617773 0.629722696456 -0.747967824506 0.0952727729575 -0.187563307464 -0.724863255263 -0.66286745799 0.814697459234 0.0 0.0 0.0 1.0,193 259 58 60,,0.9999441,0.13250613,0.39936581254
51,9,9,-0.998834777316 -0.025663452042 -0.0408714429971 -0.184875620391 0.0093352127644 0.7281534579 -0.685350563982 0.0297282387882 0.0473491438784 -0.684933521575 -0.727065423189 0.845316661435 0.0 0.0 0.0 1.0,172 218 69 57,,0.99927145,0.5302489,0.733185350895
51,9,9,-0.841909417616 0.53939658116 0.0154874388294 -0.225244101373 0.360483491836 0.583549097046 -0.727682694208 -0.139822814792 -0.40154723837 -0.607059947262 -0.685739043506 0.938889592444 0.0 0.0 0.0 1.0,164 117 62 62,,0.9980798,0.16179025,0.667840719223
51,3,3,-0.655691828363 -0.747452299812 -0.106692482042 0.0101655080468 -0.402560103572 0.465637030319 -0.788116437468 -0.249261604258 0.638759414201 -0.473811371225 -0.606208870991 0.993569200915 0.0 0.0 0.0 1.0,299 28 57 138,,0.99651563,0.20996794,0.266851365566
51,8,8,0.998618602187 0.0524495913928 0.0031508299537 -0.142594955733 -0.0350349777053 0.619963023749 0.783848454436 -0.059645180704 0.0391591330836 -0.782876037152 0.620944178449 0.901102053378 0.0 0.0 0.0 1.0,205 162 67 48,,0.9937843,0.12199937,0.204516634345
51,4,4,0.990042202983 -0.137209347123 -0.031464764025 -0.028615906237 -0.116444695807 -0.672637975206 -0.73075220638 0.00789420429462 0.0791016379817 0.727139429114 -0.681917283471 0.848553889126 0.0 0.0 0.0 1.0,284 197 44 71,,0.9936924,0.09154252,0.83583688736
51,5,5,-0.969168634919 0.224917946942 -0.100618458711 -0.0562044490108 0.244635972313 0.829597062611 -0.501918274979 -0.123369276391 -0.0294176501495 -0.511058343882 -0.859042473344 0.951050151574 0.0 0.0 0.0 1.0,263 110 58 82,,0.9877891,0.099573605,0.437134027481
51,2,2,0.200455699996 0.544758043135 0.814282620949 -0.182378028545 0.766904054217 -0.604463780285 0.215596173318 -0.0518007990095 0.609652100763 0.581259161445 -0.538945362046 0.950071275288 0.0 0.0 0.0 1.0,148 152 149 105,,0.9868537,0.0657183,0.160312533379
51,3,3,-0.165247386935 0.573075970607 0.802668819018 0.0524188371112 -0.545705089615 0.624793672629 -0.558425305489 -0.133445697882 -0.821522523294 -0.530298782344 0.209484952121 1.0510845405 0.0 0.0 0.0 1.0,314 121 74 56,,0.9579674,0.12598959,0.166188105941
51,6,6,-0.323673559893 0.941282459128 -0.0960351954458 0.0324684797063 -0.881391036856 -0.336866520628 -0.331165800512 0.00228347724654 -0.344071601233 -0.0225450530782 0.938672708566 0.893997756162 0.0 0.0 0.0 1.0,324 210 44 44,,0.94472474,0.09225586,0.246495097876
51,4,4,0.370314591645 0.500248788391 0.782699337503 0.132571401781 -0.261857299145 0.864648903409 -0.428734216874 -0.0341689572933 -0.891233896404 -0.0461889981153 0.451185902211 0.94297514947 0.0 0.0 0.0 1.0,367 179 63 59,,0.92758566,0.13315164,0.351418495178
51,12,12,0.551270779626 0.0878340916667 0.8296901228 0.135820574904 0.45660857169 0.800538523947 -0.388132302103 -0.0723203291337 -0.698290154441 0.592809618695 0.401207697076 0.995733526796 0.0 0.0 0.0 1.0,348 151 106 56,,0.84692353,0.12504463,0.474376678467
51,4,4,0.66456904185 -0.522362082972 -0.534308752397 0.0345771035978 -0.732583316147 -0.314605860502 -0.603609838755 0.00337050716831 0.147206227853 0.792566089869 -0.591751062247 0.898096611322 0.0 0.0 0.0 1.0,321 191 48 58,,0.72112584,0.07838521,0.338350206614
61,-1,-1,0.999578 0.025265 -0.014325 0.012227 0.027636 -0.675750 0.736612 0.190870 0.008930 -0.736697 -0.676164 1.373901 0.000000 0.000000 0.000000 1.000000,,images/rgb_000061.png,,,
61,0,0,0.999696 0.012961 -0.020988 -0.091187 -0.006752 -0.674555 -0.738195 -0.048204 -0.023726 0.738112 -0.674262 1.002164 0.000000 0.000000 0.000000 1.000000,,,1,1,1
61,6,6,-0.576380184576 -0.817181302403 0.000775777719694 -0.160177672784 -0.500272361458 0.352104730327 -0.79104350275 0.0937877462045 0.64615280483 -0.456329900274 -0.611759409348 0.816708440514 0.0 0.0 0.0 1.0,192 260 56 58,,0.99998105,0.15207419,0.274967938662
61,9,9,-0.999612324379 -0.0147503973815 -0.0236141213307 -0.189441635066 0.00419736783107 0.758605348496 -0.651536881025 0.0285384707666 0.0275242266454 -0.651383413214 -0.758249342854 0.849539190798 0.0 0.0 0.0 1.0,170 216 67 61,,0.99943537,0.4676077,0.672280073166
61,3,3,-0.672068820069 -0.735473002814 -0.0860404743285 0.010884010969 -0.407594280857 0.464435153771 -0.786235899813 -0.251320847844 0.618215499081 -0.493335028225 -0.611906975465 0.994166230027 0.0 0.0 0.0 1.0,299 27 58 137,,0.9955843,0.20744283,0.351350188255
61,9,9,-0.844948788743 0.534115976777 0.0279583216955 -0.226493938485 0.337489950688 0.572988646348 -0.746849746831 -0.143139810199 -0.414924182937 -0.621614136348 -0.66440483736 0.943334257037 0.0 0.0 0.0 1.0,165 115 59 63,,0.995057,0.22944283,0.705755710602
61,8,8,0.997614271312 -0.0292427093868 0.0625350271713 -0.147411436196 -0.0215695801594 0.728465361398 0.684742995915 -0.0609797938331 -0.0655783416026 -0.684458239187 0.726096687723 0.899136254782 0.0 0.0 0.0 1.0,204 166 61 46,,0.9939705,0.12933788,0.16532856226
61,6,6,-0.16367944417 0.986506900675 -0.00362966628864 0.0283798526853 -0.985647835991 -0.163688804186 -0.0412833960621 0.0040325580642 -0.0413204908329 -0.00317967059811 0.999140884326 0.892171347599 0.0 0.0 0.0 1.0,321 209 46 45,,0.9921495,0.11155102,0.257755160332
61,2,2,0.0770565408284 0.51344051002 0.854658488629 -0.18003844933 0.833033666156 -0.504158814385 0.227769183447 -0.0536110081392 0.547829536047 0.69440818871 -0.46656196468 0.967723886246 0.0 0.0 0.0 1.0,147 152 143 103,,0.9905342,0.06984343,0.187741518021
61,4,4,-0.26441236969 -0.962824175023 -0.0552784474016 -0.0351636869021 0.662529868607 -0.222999248561 0.715070282102 0.0167839737665 -0.70081400668 0.152449805291 0.69686353392 0.859516768564 0.0 0.0 0.0 1.0,281 196 44 74,,0.9882604,0.078838855,0.483798205853
61,3,3,-0.174724416824 0.0041009998724 0.984608836018 0.0318223270397 -0.723733171873 0.677482929049 -0.131252340087 -0.151400128357 -0.667593944023 -0.735527064524 -0.115404780041 1.06767679202 0.0 0.0 0.0 1.0,315 118 73 56,,0.9511831,0.1453782,0.292244076729
61,4,4,0.28378350068 0.332341952066 0.899453029145 0.134419508015 -0.306242161914 0.920304327981 -0.243424900464 -0.0273021385387 -0.90867082214 -0.206370469779 0.362944301781 0.940193313743 0.0 0.0 0.0 1.0,370 183 61 56,,0.9376462,0.13557228,0.368613839149
61,5,5,-0.953471620579 0.282383457104 -0.105600435156 -0.0558892482451 0.296451361602 0.814438192212 -0.498805594666 -0.122555128069 -0.0548494207387 -0.506902371488 -0.860256663342 0.95370712574 0.0 0.0 0.0 1.0,263 111 60 79,,0.9260769,0.09795883,0.474990844727
71,-1,-1,0.998716 0.036810 -0.034790 0.039076 0.050534 -0.677971 0.733349 0.193865 0.003408 -0.734166 -0.678961 1.376459 0.000000 0.000000 0.000000 1.000000,,images/rgb_000071.png,,,
71,0,0,0.999159 0.035207 -0.021074 -0.093835 0.008198 -0.674522 -0.738211 -0.048473 -0.040205 0.737417 -0.674242 1.002528 0.000000 0.000000 0.000000 1.000000,,,1,1,1
71,9,9,-0.998622529485 -0.0396561881327 -0.0343573914484 -0.196457965885 -0.00522020574642 0.726649499546 -0.686988540124 0.0269421558227 0.0522091280938 -0.685862881014 -0.725855574747 0.8518872073 0.0 0.0 0.0 1.0,165 215 66 59,,0.99986017,0.41012195,0.731036186218
71,6,6,-0.978489449628 -0.176394531844 -0.106973670139 -0.170472680021 -0.0197046655007 0.596085962052 -0.802678797529 0.0927727110519 0.20535365379 -0.783304854434 -0.586739620185 0.820593283808 0.0 0.0 0.0 1.0,186 256 57 59,,0.9998535,0.14952548,0.325835257769
71,3,3,-0.693757900054 -0.718497489809 -0.0496118257107 0.00517684612278 -0.432433896946 0.470648968523 -0.769084178228 -0.253845196306 0.575934806106 -0.512104389326 -0.637219109529 0.994180833213 0.0 0.0 0.0 1.0,298 21 59 132,,0.9964432,0.20215829,0.378959953785
71,8,8,-0.0974065829566 0.995137636398 0.0145959659084 -0.160442050578 -0.724800171327 -0.0809803812782 0.684183374171 -0.0732197743706 0.68203861272 0.0560648060026 0.729163951582 0.888970610589 0.0 0.0 0.0 1.0,204 166 58 41,,0.9920873,0.1489469,0.0677552968264
